NIT Proveedor,Proveedor,Mes de tráfico,Hora Pico mes,Fecha hora Pico,Tráfico Datos: Internacional (GB),Tráfico Datos:  NAPs - Colombia (GB),Tráfico Datos: Acuerdos de tránsito o peering directo (GB),Tráfico Datos: Local (GB),Tráfico Datos: Total Mes (GB)
830016046,AVANTEL S.A.S EN REORGANIZACION,1/01/2020,22:00,19/01/2020,"0,27","6375,44","4734,53",0,"5338407,56"
830016046,AVANTEL S.A.S EN REORGANIZACION,1/02/2020,22:00,02/02/2020,"0,22","6466,36","4545,11",0,"5195661,24"
830016046,AVANTEL S.A.S EN REORGANIZACION,1/03/2020,22:00,21/03/2020,"0,26","7745,73","5444,36",0,"5937024,88"
800153993,Comunicación Celular SA,1/01/2020,20:00,14/01/2020,271386,48641,325404,723150,708995246
800153993,Comunicación Celular SA,1/02/2020,20:00,16/02/2020,229810,44820,290250,822600,623925720
800153993,Comunicación Celular SA,1/03/2020,21:00,26/03/2020,356040,44127,365310,1026612,882713592
830114921,COLOMBIA MOVIL,1/01/2020,20:00,23/01/2020,0,0,54472,0,21835348
830114921,COLOMBIA MOVIL,1/02/2020,16:00,22/02/2020,0,0,53127,0,20865964
830114921,COLOMBIA MOVIL,1/03/2020,20:00,06/03/2020,0,0,45206,0,20653001
805006014,DIRECTV,1/01/2020,21:00,06/01/2020,"8665,87","766,83","10211,65",48484,"29810822,34"
805006014,DIRECTV,1/02/2020,21:00,16/02/2020,"8725,1","980,36","11141,31","47046,27","29019008,26"
805006014,DIRECTV,1/03/2020,18:00,30/03/2020,"12544,1","1659,4","14334,12","53437,46","36966611,2"
890905065,EDATEL S.A,1/01/2020,19:00,24/01/2020,0,0,39308,0,27289548
890905065,EDATEL S.A,1/02/2020,19:00,25/02/2020,0,0,61677,0,25306560
890905065,EDATEL S.A,1/03/2020,20:00,25/03/2020,0,0,85527,0,32837184
890399003,Emcali,1/01/2020,21:00,26/01/2020,8322,725,0,38183,23980159
890399003,Emcali,1/02/2020,20:00,24/02/2020,8457,737,0,38801,24324187
890399003,Emcali,1/03/2020,21:00,26/03/2020,8471,738,0,38864,29282237
899999115,ETB SA ESP,1/01/2020,21:00,19/01/2020,48615,14249,0,245590,129742054
899999115,ETB SA ESP,1/02/2020,20:00,23/02/2020,52387,11735,0,269478,125710624
899999115,ETB SA ESP,1/03/2020,18:00,21/03/2020,80885,20117,0,327732,172878150
800132211,HVTV,1/01/2020,18:00,17/01/2020,0,0,8759,7794,10004286
800132211,HVTV,1/02/2020,20:00,23/02/2020,0,0,10582,8033,10774437
800132211,HVTV,1/03/2020,13:00,22/03/2020,0,0,25962,19401,22656885
830122566,COLOMBIA TELECOMUNICACIONES,1/01/2020,21:00,26/01/2020,201470,18287,0,285255,239844247
830122566,COLOMBIA TELECOMUNICACIONES,1/02/2020,21:00,16/02/2020,181161,17285,0,344655,222547349
830122566,COLOMBIA TELECOMUNICACIONES,1/03/2020,21:00,21/03/2020,261770,29068,0,465975,297102651
900092385,UNE EPM Telecomunicaciones S.A.,1/01/2020,21:59,06/01/2020,153000,19350,252000,816750,515783727
900092385,UNE EPM Telecomunicaciones S.A.,1/02/2020,20:54,23/02/2020,179100,28800,235800,832050,472797143
900092385,UNE EPM Telecomunicaciones S.A.,1/03/2020,21:54,21/03/2020,275400,33300,340650,1070550,650193584
900420122,Virgin Mobile,1/01/2020,18:00,17/01/2020,0,0,10773,0,892948
900420122,Virgin Mobile,1/02/2020,17:30,21/02/2020,0,0,3130,0,788663
900420122,Virgin Mobile,1/03/2020,13:00,17/03/2020,0,0,3407,0,851619
